"","Percentage_positive"
"AL627309.5",0.6
"LINC01409",5.7
"LINC01128",2.7
"LINC00115",0.9
"FAM41C",1
"AL645608.2",0.1
"NOC2L",9.2
"KLHL17",0.4
"HES4",0.9
"ISG15",4.5
"AGRN",0.6
"AL645608.8",0.1
"C1orf159",1.3
"TTLL10",0.2
"TNFRSF18",3.8
"TNFRSF4",1.4
"SDF4",5.9
"B3GALT6",1.6
"C1QTNF12",0.5
"AL162741.1",1.1
"UBE2J2",3.8
"SCNN1D",0.2
"ACAP3",2
"PUSL1",0.3
"INTS11",4.5
"TAS1R3",0.1
"DVL1",0.7
"MXRA8",0.5
"AURKAIP1",8.2
"CCNL2",16.1
"MRPL20-AS1",0.3
"MRPL20",8.2
"AL391244.2",0.4
"ATAD3C",0.3
"ATAD3B",3.6
"ATAD3A",1
"SSU72",13.2
"AL645728.1",3.5
"AL691432.2",0.9
"MIB2",4.9
"CDK11B",16.1
"SLC35E2B",4.6
"CDK11A",23.7
"SLC35E2A",2
"NADK",4.6
"GNB1",17.7
"CFAP74",0.1
"GABRD",0.4
"PRKCZ",1.5
"AL590822.2",0.6
"FAAP20",8.1
"SKI",6.9
"AL590822.3",0.2
"MORN1",0.5
"RER1",6.6
"PEX10",0.6
"PLCH2",1.7
"PANK4",0.7
"AL139246.5",1.6
"TNFRSF14-AS1",1.4
"TNFRSF14",10.5
"AL139246.3",0.3
"PRXL2B",0.6
"PRDM16",0.1
"MEGF6",4.4
"TPRG1L",1.7
"WRAP73",2.6
"TP73",0.2
"CCDC27",0.1
"LRRC47",1.7
"CEP104",2.4
"DFFB",0.5
"C1orf174",1.9
"LINC01134",0.1
"NPHP4",0.5
"KCNAB2",5.3
"RPL22",66.9
"ICMT",0.4
"ACOT7",0.4
"AL031848.2",0.9
"HES2",0.2
"TNFRSF25",0.7
"NOL9",5.7
"ZBTB48",2.1
"KLHL21",2.3
"PHF13",0.8
"THAP3",0.4
"DNAJC11",1.6
"AL591163.1",0.1
"CAMTA1-DT",0.5
"CAMTA1",9.5
"VAMP3",3.5
"PER3",0.3
"TNFRSF9",0.2
"PARK7",11.2
"AL034417.4",0.1
"AL034417.3",0.1
"RERE",28.2
"ENO1",9.1
"ENO1-AS1",0.1
"SLC2A5",0.2
"GPR157",0.4
"MIR34AHG",0.1
"H6PD",2
"SPSB1",0.3
"SLC25A33",7.6
"TMEM201",0.7
"PIK3CD",4.6
"CLSTN1",3
"CTNNBIP1",1
"LZIC",3.5
"NMNAT1",0.5
"UBE4B",4.1
"KIF1B",2.1
"AL139424.3",0.2
"PGD",1.4
"CENPS",1.3
"CORT",0.2
"DFFA",2.7
"PEX14",1.6
"CASZ1",4.3
"AL139423.1",0.1
"TARDBP",16.1
"AL109811.2",1.7
"SRM",3.5
"EXOSC10",8
"AL109811.1",0
"MTOR",3.7
"UBIAD1",2
"DISP3",0.1
"FBXO44",1.7
"FBXO6",0.9
"MAD2L2",2.7
"DRAXIN",0.2
"AGTRAP",0.9
"MTHFR",5.2
"CLCN6",4.6
"AL021155.5",13.3
"KIAA2013",3.5
"PLOD1",0.2
"MFN2",3.2
"MIIP",2.1
"TNFRSF1B",1.9
"VPS13D",8.7
"PRDM2",73.2
"KAZN",1.2
"AL031283.1",0.5
"EFHD2",12.2
"CTRC",0.3
"CASP9",1.9
"DNAJC16",2.1
"AGMAT",0.7
"AL121992.1",0.2
"DDI2",3.7
"PLEKHM2",9.9
"AL450998.3",0
"SLC25A34",0.1
"FBLIM1",0.9
"UQCRHL",0.3
"AL450998.2",11
"SPEN",29.7
"ZBTB17",6.3
"FAM131C",0.1
"ARHGEF19",0.4
"AL109627.1",0.2
"CPLANE2",0.1
"FBXO42",4.3
"SZRD1",9
"SPATA21",0.1
"NECAP2",4
"LINC01772",0.6
"AL137802.2",0.4
"NBPF1",0.8
"CROCC",1.7
"BX284668.5",0.8
"BX284668.6",0.6
"ATP13A2",0.8
"SDHB",3.7
"PADI2",0
"PADI4",0.3
"RCC2",11.8
"ARHGEF10L",0.8
"ALDH4A1",0.2
"IFFO2",2.2
"AL137127.1",0.1
"UBR4",12.4
"EMC1-AS1",0.1
"EMC1",2
"MRTO4",3.5
"AKR7A3",0
"AKR7A2",2.7
"SLC66A1",0.9
"CAPZB",11.2
"MICOS10",9.1
"TMCO4",1.2
"OTUD3",1.7
"PLA2G2D",0.4
"PLA2G2C",0.3
"UBXN10",0.1
"CAMK2N1",0.5
"MUL1",2.2
"PINK1",0.5
"PINK1-AS",0.4
"DDOST",4.8
"HP1BP3",22.3
"EIF4G3",9.5
"ECE1",8.6
"AL031728.1",0.6
"NBPF3",0.1
"ALPL",0.1
"USP48",14
"LDLRAD2",0.3
"HSPG2",0.3
"LINC01635",0.1
"LINC00339",2.1
"CDC42",45
"CDC42-AS1",0.1
"CDC42-IT1",5.7
"ZBTB40",4.4
"KDM1A",5.7
"LUZP1",4.3
"HNRNPR",20.2
"ZNF436",0.2
"ZNF436-AS1",0.2
"ASAP3",0.1
"E2F2",0.4
"ID3",18.3
"RPL11",76.4
"ELOA-AS1",0.3
"ELOA",4.8
"PITHD1",4.6
"LYPLA2",2.4
"GALE",0.5
"HMGCL",0.8
"FUCA1",0.4
"CNR2",6
"PNRC2",18.2
"SRSF10",61.9
"IFNLR1",0.9
"STPG1",0.5
"NIPAL3",1
"RCAN3",3.7
"SRRM1",53.9
"CLIC4",5.7
"RUNX3",10.5
"AL031432.1",0.2
"SYF2",30.7
"AL031432.4",1
"RSRP1",33.9
"TMEM50A",8.8
"RHCE",0.1
"MACO1",6.5
"LDLRAP1",0.7
"SELENON",1.5
"AL020996.1",0.2
"MTFR1L",1.1
"AL033528.2",0.1
"PAQR7",0.5
"STMN1",17.9
"PAFAH2",0.5
"PDIK1L",0.7
"FAM110D",0
"ZNF593",8.1
"CNKSR1",0.2
"CEP85",0.2
"SH3BGRL3",30.5
"UBXN11",1.3
"CD52",40.2
"LIN28A",0
"DHDDS",4
"HMGN2",36.4
"RPS6KA1",1.7
"AL512408.1",0.4
"ARID1A",15.4
"PIGV",0.2
"ZDHHC18",2
"GPN2",1.9
"GPATCH3",3.6
"NUDC",8.8
"SLC9A1",1.9
"WDTC1",2.1
"TMEM222",2.4
"SYTL1",5.7
"MAP3K6",0.1
"WASF2",19.4
"AHDC1",3.7
"FGR",0.4
"IFI6",2.9
"AL020997.5",0.5
"FAM76A",5.2
"STX12",5.2
"AL020997.2",0.4
"PPP1R8",1.4
"THEMIS2",1.9
"RPA2",1.8
"XKR8",0.3
"EYA3",1.5
"PTAFR",0.3
"DNAJC8",15.3
"ATP5IF1",7.4
"AL353622.1",0.5
"SESN2",0.6
"MED18",0.5
"PHACTR4",15.9
"RCC1",0.8
"SNHG3",6.4
"TRNAU1AP",2.8
"SNHG12",3.6
"TAF12",1.8
"LINC01715",0.1
"AL360012.1",9.4
"GMEB1",4.5
"YTHDF2",11.1
"EPB41",21.6
"SRSF4",25.2
"MECR",0.6
"MATN1",0.8
"MATN1-AS1",2.3
"LAPTM5",58.7
"SDC3",1.7
"PUM1",23.8
"SNRNP40",6.3
"ZCCHC17",2.6
"LINC01226",0.2
"PEF1",2.3
"ADGRB2",0
"AL136115.2",0.6
"PTP4A2",27.1
"KHDRBS1",19.8
"AL445248.1",0.4
"TMEM39B",1.1
"KPNA6",5.7
"TXLNA",5
"CCDC28B",1.5
"AL049795.1",0.2
"IQCC",0.2
"DCDC2B",0.1
"TMEM234",0.9
"EIF3I",9.3
"FAM167B",0.1
"LCK",3.1
"HDAC1",6.1
"MARCKSL1",25.3
"FAM229A",1
"BSDC1",14.2
"ZBTB8B",0.2
"ZBTB8A",0.5
"ZBTB8OS",5.4
"RBBP4",19.3
"SYNC",3.2
"YARS",3.3
"S100PBP",3.2
"FNDC5",0.3
"RNF19B",1.4
"AK2",2.9
"AZIN2",0.1
"TRIM62",0.5
"ZNF362",1.6
"PHC2",2.1
